69,"Henkel","2009-04-25 16:32:42","ani",\N,\N,\N,\N
70,"La corona","2009-04-27 11:35:38","ani",\N,\N,\N,\N
71,"Kellogg`s","2009-04-27 11:41:22","ani",\N,\N,\N,\N
72,"Derivados d frutas","2009-04-27 11:41:59","ani",\N,\N,\N,\N
73,"Embotelladora mexicana","2009-04-27 11:43:45","ani",\N,\N,\N,\N
74,"Pedigree","2009-04-27 11:43:58","ani","2009-05-14 19:17:39","ani",\N,\N
75,"Sabormex","2009-04-27 11:51:33","ani",\N,\N,\N,\N
76,"Maruchan","2009-04-27 11:51:51","ani",\N,\N,\N,\N
77,"British Americean Tobacco Mèxico","2009-04-27 11:55:43","ani",\N,\N,\N,\N
78,"pm cigatam ps","2009-04-27 11:58:31","ani",\N,\N,\N,\N
79,"pm cigatam ps","2009-04-27 12:00:26","ani",\N,\N,"2009-04-27 12:04:25","ani"
80,"Red Bull","2009-04-27 12:00:55","ani","2009-05-12 18:34:14","ani",\N,\N
81,"Vinìcola de tecete","2009-04-27 12:03:13","ani",\N,\N,\N,\N
82,"Henkel","2009-04-28 15:09:17","ani",\N,\N,"2009-04-28 15:10:09","ani"
83,"Wet Line","2009-04-28 15:26:47","ani",\N,\N,\N,\N
84,"Profina","2009-04-28 16:40:02","ani",\N,\N,\N,\N
85,"Luz Eterna","2009-04-28 17:11:40","ani",\N,\N,\N,\N
86,"Alen ","2009-04-28 17:20:55","ani",\N,\N,\N,\N
87,"SCA Consumidor México","2009-04-29 18:31:47","ani",\N,\N,\N,\N
88,"Tamazula","2009-05-01 17:35:01","ani",\N,\N,\N,\N
89,"San Marcos","2009-05-02 15:00:39","ani",\N,\N,\N,\N
90,"Duracell","2009-05-02 15:38:47","ani",\N,\N,\N,\N
91,"Eveready","2009-05-02 15:39:17","ani",\N,\N,\N,\N
92,"H24","2009-05-02 15:46:06","ani",\N,\N,\N,\N
93,"Atlantic Paste & Glue","2009-05-02 15:55:45","ani","2009-05-12 18:32:28","ani",\N,\N
94,"Philips","2009-05-02 15:56:16","ani",\N,\N,\N,\N
95,"BIC","2009-05-02 16:00:02","ani",\N,\N,\N,\N
96,"kola Loka","2009-05-02 16:01:07","ani",\N,\N,\N,\N
97,"Reckitt Benckiser","2009-05-02 16:07:48","ani",\N,\N,\N,\N
98,"Choco Milk","2009-05-02 16:09:16","ani",\N,\N,\N,\N
99,"MUSA","2009-05-02 16:54:12","ani",\N,\N,\N,\N
100,"La Central","2009-05-02 17:36:48","ani",\N,\N,\N,\N
101,"Maizena","2009-05-04 18:26:17","ani",\N,\N,"2009-05-04 18:31:06","ani"
102,"Castells","2009-05-04 18:48:01","ani",\N,\N,\N,\N
103,"Gamesa","2009-05-04 18:58:55","ani",\N,\N,\N,\N
104,"Elefante","2009-05-05 16:34:37","ani",\N,\N,\N,\N
105,"La Fina","2009-05-05 16:34:54","ani",\N,\N,\N,\N
106,"Acme","2009-05-05 20:15:28","ani",\N,\N,\N,\N
107,"ISYSA","2009-05-06 12:11:47","ani",\N,\N,\N,\N
108,"ISYSA","2009-05-06 12:13:53","ani",\N,\N,"2009-05-06 13:04:43","ani"
109,"ISYSA","2009-05-06 12:16:07","ani",\N,\N,"2009-05-06 13:04:18","ani"
110,"ACT II","2009-05-06 17:41:03","ani",\N,\N,\N,\N
111,"Ferrero","2009-05-06 17:53:48","ani",\N,\N,\N,\N
112,"Mars","2009-05-07 12:48:53","ani",\N,\N,"2009-05-14 19:18:22","ani"
113,"Ricolino","2009-05-07 14:39:36","ani",\N,\N,\N,\N
114,"Sigma","2009-05-07 17:40:40","ani",\N,\N,\N,\N
115,"El Sembrador","2009-05-07 18:27:35","ani",\N,\N,\N,\N
116,"Viña Real","2009-05-08 18:17:01","ani","2009-05-08 18:17:36","ani",\N,\N
117,"Del Valle","2009-05-08 18:27:12","ani",\N,\N,\N,\N
118,"Big","2009-05-08 18:57:01","ani",\N,\N,\N,\N
119,"Gatorade","2009-05-11 18:51:35","ani",\N,\N,\N,\N
120,"AriZona","2009-05-12 14:10:11","ani",\N,\N,\N,\N
