39,"7501065919878","Zest  impresiones","huerto de frutas cìtricas",36,9,\N,200,2,"2009-04-27 15:17:11","ani","2009-04-27 15:20:19","ani",\N,\N,0
40,"7501065920003","Zest  impresiones","jardìn de primavera",36,9,\N,200,2,"2009-04-27 15:19:05","ani",\N,\N,\N,\N,0
41,"7501065919700","Zest natura","manzanilla con leche",36,9,\N,200,2,"2009-04-27 15:22:21","ani",\N,\N,\N,\N,0
42,"7501086472031","cepillo dental","double duty",36,9,\N,7,6,"2009-04-27 15:54:53","ani",\N,\N,\N,\N,0
43,"7501001155841","Downy libre enjuague","aroma floral",36,13,\N,850,4,"2009-04-27 15:59:50","ani",\N,\N,\N,\N,0
44,"7590002040003","Downy libre enjuague","pureza silvestre",36,13,\N,850,4,"2009-04-27 16:03:06","ani",\N,\N,\N,\N,0
45,"7501001108502","Downy libre enjuegue","Naturals",36,13,\N,850,4,"2009-04-27 16:16:32","ani",\N,\N,\N,\N,0
46,"7501065906472","Downy libre enjuegue","Tango",36,13,\N,850,4,"2009-04-27 16:18:10","ani",\N,\N,\N,\N,0
47,"7501001158439","Naturella s/alas","con manzanilla",36,9,\N,10,7,"2009-04-27 16:49:45","ani",\N,\N,\N,\N,0
48,"7501001157296","Naturella c/alas","con manzanilla",36,9,\N,10,7,"2009-04-27 16:51:54","ani",\N,\N,\N,\N,0
49,"7501001405335","naturella noche c/alas","con mansanilla",36,9,\N,10,7,"2009-04-27 17:00:14","ani",\N,\N,\N,\N,0
50,"7790073034257","always con alas","flexi alas",36,9,\N,10,7,"2009-04-27 17:03:27","ani",\N,\N,\N,\N,0
51,"7509546032214","Palmolive Naturals","sensaciòn hucmectante",40,9,\N,180,2,"2009-04-28 11:47:41","ani",\N,\N,\N,\N,0
52,"7509546032184","Neutro Balance","jabòn-dermolimpiador",40,9,\N,180,2,"2009-04-28 11:51:22","ani",\N,\N,\N,\N,0
53,"7501035911376","Colgate Total 12","Clean Mint",40,9,\N,150,4,"2009-04-28 11:53:24","ani",\N,\N,\N,\N,0
54,"7501035911024","Colgate Màxima Protecciòn Antacaries","con micro-partìculas de calcio",40,9,\N,125,4,"2009-04-28 11:57:06","ani",\N,\N,\N,\N,0
55,"7509546009179","Colgate Màxima Protecciòn Antacaries","con micro partìculas de calcio",40,9,\N,75,2,"2009-04-28 12:00:15","ani",\N,\N,\N,\N,0
56,"7501035911031","Colgate Màxima Protecciòn Antacaries","con micro-partìculas de calcio",40,9,\N,100,2,"2009-04-28 12:03:16","ani",\N,\N,\N,\N,0
